Usernama,Test Casa,Data,Key,Timestamp
INFIX Calculator V.1,a,2025-07-09,5,2025-07-09T04:14:05.458Z
INFIX Calculator V.1,a,2025-07-09,7,2025-07-09T04:14:06.849Z
INFIX Calculator V.1,a,2025-07-09,x,2025-07-09T04:14:07.891Z
INFIX Calculator V.1,a,2025-07-09,1,2025-07-09T04:14:08.484Z
INFIX Calculator V.1,a,2025-07-09,3,2025-07-09T04:14:08.902Z
INFIX Calculator V.1,a,2025-07-09,M,2025-07-09T04:14:10.524Z
INFIX Calculator V.1,a,2025-07-09,C,2025-07-09T04:14:10.945Z
INFIX Calculator V.1,a,2025-07-09,1,2025-07-09T04:14:13.337Z
INFIX Calculator V.1,a,2025-07-09,6,2025-07-09T04:14:13.793Z
INFIX Calculator V.1,a,2025-07-09,1,2025-07-09T04:14:14.217Z
INFIX Calculator V.1,a,2025-07-09,/,2025-07-09T04:14:17.402Z
INFIX Calculator V.1,a,2025-07-09,7,2025-07-09T04:14:18.098Z
INFIX Calculator V.1,a,2025-07-09,=,2025-07-09T04:14:19.580Z
